topic,caption
a person complimenting someone,max <sep> y u so perfect?
a person waiting for a job offer,CHRIS <sep> Y U NO HAVE DAY PLACE YET?
a beer at parties,Coors?! <sep> Y u drinking water at parties
a student wanting to end school,6 weeks of school left <sep> Y U NO end school
a big foot,Y U SO <sep> POS
a girl complimenting another girl,allie kller <sep> y u so beautiful inside and out!!!
a fan voting for their favorite actress,LIVEJOURNAL <sep> Y U NO VOTE OLIVIA?
a soldier,skyrim soldiers <sep> y u no get better knee armor
a celebrity couple,KENDALL LOGAN <sep> Y U NO ADMIT YOU'RE DATING?!
a computer program,excel <sep> vba y u no work properly
a social media post,facebook friends <sep> y u no like status
a fan complaining about a movie,CONAN BARBARIAN 2011 <sep> Y U SO SHIT
a person wanting to buy a ticket.,Y U NO <sep> Buy Ticket.?!
a person making fun of someone's weight,ADAM!! <sep> Y U SO FAT!!!
a person asking a question,victoria!! <sep> y u no tell me your secret???
a man using a women's restroom,Idris sir <sep> Y u use the girl's toilet
a game,You ask to play Draw Something <sep> Y U NO PLAY BACK!!!
a person confused,Fugue <sep> Hgugug
a person lying about being calm,MOFE Y U LIE <sep> DAT YOU CALM PERSON
a person expressing dislike for Chris,Copy & Paste <sep> Why you no like chris?
a teenager expressing dislike,Y u no me gusta?! <sep> <emp>
a coworker not shutting up,stupid co-worker <sep> y u no shut up
a bacterium,Sense.coli <sep> y u not glow?
a person waiting for a response to an email,I send email <sep> Y U NO email back
a person praising an online marketplace,eBay <sep> y u so freaking awesome??
a woman wanting to know what she wants,Women <sep> y u no know what you wANT
a celebrity criticizing someone's behavior,Justin beiber <sep> Y u so girly
a person eating ramen noodles,Ramen noodle <sep> Y u no cool down?
a person frustrated,Rage ahhhhhhhh <sep> <emp>
a person struggling financially,Hobos <sep> Y u no earn money?
"### Response:
a person not sleeping",it's 5 o'clock in the morning <sep> y u no sleeping
a fan complaining about a TV show,DBZ <sep> Y U NO POWER UP IN ONE EPISODE!?
a person asking for money,"Alec, y u no <sep> Give me money"
a person being poked,pokers <sep> y u keep poking me?!
a person with a stuffy nose,Stuffy nose <sep> y u switch nostrils
a language detection failure,y u no select language? <sep> y u no detect language?!?
a movie reference,Silence of The Lambs <sep> Y U no put the lotion on the skin
a food packaging complaint,"PRINGLES, <sep> Y U NO MAKE WIDER CANS"
a Minecraft player,Microsoft <sep> Y u no leave Minecraft alone?
a digital zoo,Billion dollar idea <sep> A digital zoo
a food that doesn't taste like apple,aPPLE COMPUTER <sep> Y U NO TASTE LIKE APPLE?
a person asking to go home,<emp> <sep> Y U DONT Let us go home???
music industry,Music Industry <sep> Y U NO GOOD ANYMORE!?!
a shipping company not shipping quickly,UPS <sep> Y U NO ShiP faster??
a parking issue,Idiots <sep> Y U NO PARK PROPERLY?!
a person distracted by a cat,A.d.d <sep> y u no- oh look a cat!
a music performance,Avicii Playing Levels. <sep> Y U Dont sing DUDUDUUDUDUDUDUUDUDUDUDUDUDUDUDUUDUDUDU
a person asking for beer,FRIDGE! <sep> Y U NO HAVE BEER?!
a knight,BY THE <sep> KNIGHTS OF columbus
a car going fast,Ford <sep> Why you no go fast?!
a girl playing with a cat,Y U NO THINK ITS CUTE THAT I DO <sep> <emp>
a wolf trying to get into a house,Big Bad wolf <sep> y u no use door?
a candy preference,Starburst <sep> Y U no always cherry
a girl demanding a phone,Y U NO <sep> GIMME UR FON
a kid comparing prices,Mum paid for $5 you paid for $4 <sep> Y u so mad?
a person complimenting someone's intelligence,joohris <sep> y u so smart
a guy looking for love online,Forever alone guy <sep> y u no use e-harmony?!
a person making a comment about someone's appearance,why you so <sep> ugly
a school having a long time in halls like a TV show,School <sep> Y u no have hour long time in halls like Tv show?
a person fishing for likes,Y U ALWAYS <sep> FISHING FOR LIKES!
a computer problem,steam browser <sep> y u no work properly?
a person watching a pot of water,pot of water <sep> y u no boil when i watch u
a desire for candy,CANDY <sep> Y U NO LAST FOREVER?
a person commenting on a cute animal,brent <sep> y u so cute
a person asking for help,if u don't understand <sep> Y U NO ask ?
a cat being compared to diesel,Diesel <sep> Y U Not Cat??
a vending machine,Vending Machine <sep> Y U No give me snack i just paid for
a husband not washing well,Husband <sep> y u no wash ass very good?
a man being apologetic,Y u noo <sep> Stop saying sorry
a student being upset about school,Y U MADE SCHOOL <sep> <emp>
a company trolling customers,Y DOES EA KEEP <sep> TROLLING!
a website for generating memes,Memes <sep> y u no generate yourself?
a star fox character,bing <sep> y u no do barrel roll?!
a compliment,Leanne <sep> y u so gorgeous?
a parent watching TV,mom <sep> y u talk while im watching tv!?
a therapist,THERAPY <sep> WHY YOU NO GOOD?
a music concert,Bonnie tyler <sep> y u no turn around bright eyes?
a gamer,Cod MW3 <sep> Y U No longer
a teacher wanting a vacation,Teacher <sep> Y u no take vacation?!
a person proofreading a meme,People <sep> y u no proofread meme before posting?!
a boring subject,Chemistry <sep> y u so boring?!
a woman complaining about a phone,SCARLETT JOHANSSEN <sep> Y U No BUY BETTER PHONE
a food related topic,CHEETOS <sep> Y U MAKE ME WASH HANDS
matrix character,<emp> <sep> y u so ugly?!?
a person working too much,Sean <sep> Y u so stuPid And work too much?
a person hiding their social media followers,amir efrati <sep> y u hide ur followers
a football game,Niners! <sep> Y u no beat giants?
a person not revealing their name,WEIRDO WITH 5 COLOURS IN HAIR <sep> Y U NO TELL MCFLY YOUR NAME?
a cat,nyan cat <sep> y u no stop?
a person feeling unloved,no text back in 30 minutes <sep> y u no love me?
a man wanting flowers for someone,Bruno Mars <sep> Y u no bought her flowers
a discussion about online commenting system,Youtube <sep> y u no make nested comments?
a person wanting something,Y u no <sep> eat chocolate
a character in a fantasy world,peach <sep> y u no in this castle?
a person being lucky,Y U SO LUCKY!? <sep> <emp>
a person wanting to run,alL THE OTHER KIDS WITH PUMPED UP KICKS <sep> Y U NO RUN?
a social media platform,Facebook <sep> Y U NO STAY SAME?
a person feeling abandoned,PEOPLE <sep> Y U NO USE ME ANYMORE??
a party,MILKSHAKES <sep> Y U NO BRING BOYS TO THE YARD
a student arguing with a teacher,when the teacher tries to prove <sep> you wrong when you know your right
a person denying being a Sith,pope <sep> y u no admit u sith?
a gamer complaining about compatibility,ps2 games <sep> Y U NO play on ps3 also?
a lord wanting more content before watching a video,LORD <sep> Y U NO PUT MORE BEFORE VIDEO ?
a concept in computer science,VECTOR SPACE <sep> Y U SO CONFUSING
a joke,Inside joke <sep> y u NO outside?
a parent being delayed,le parents about to leave <sep> y u no hurry so i can fap
a person with a skin tone issue,Y U SO WHITE! <sep> ME NO GUSTA
a teenager being annoyed,Y U <sep> so annoying?!
a person being late,S.O.G! <sep> Y U late
a meme about memes,Go call more! <sep> why u so meme
a computer being overloaded,9 gag <sep> Y u Overload So much!
a person complaining about work,Mondays <sep> WHY you no take holiday?!
a man in frustration,WORLD <sep> Y U NO END?
a person being upset,TOMMY HU <sep> Y U SO MAD
a person frustrated with YouTube updates,"Every time i get back on youtube, it keeps changing! <sep> Stop changing Youtube!!!"
a reality TV show,JERSEY SHORE CAST <sep> Y U NO DIE IN A CAR ACCIDENT?
a girl making duck faces,girls <sep> y u no stop making duck faces?!
a person criticizing others,Average <sep> Y U point things out
a person being called gay,KAthleen <sep> y u so gay?!?
a person not wearing headphones on a bus,PEOPLE ON BUS <sep> Y U NO USE HEADPHONES
